Crash Number,City Town Name,Crash Date,Crash Severity,Crash Status,Crash Time,Crash Year,Max Injury Severity Reported,Number of Vehicles,Police Agency Type,State Police Troop,Age of Driver - Youngest Known,Age of Driver - Oldest Known,Age of Vulnerable User - Youngest Known,Age of Vulnerable User - Oldest Known,Crash Hour,Driver Contributing Circumstances (All Drivers),Driver Distracted By (All Vehicles),First Harmful Event,Is Geocoded,Light Conditions,Manner of Collision,MassDOT District,Vulnerable User Action (All Persons),Vulnerable User Location (All Persons),Vulnerable User Type (All Persons),RMV Document Numbers,Road Surface Condition,Roadway Junction Type,RPA Abbreviation,Total Fatalities,Total Non-Fatal Injuries,Traffic Control Device Type,Trafficway Description,Vehicle Actions Prior to Crash (All Vehicles),Vehicle Configuration (All Vehicles),Vehicle Emergency Use (All Vehicles),Vehicle Towed From Scene (All Vehicles),Vehicle Travel Directions (All Vehicles),Weather Conditions,County Name,Crash Report IDs,FMCSA Reportable (All Vehicles),FMCSA Reportable (Crash),First Harmful Event Location,Geocoding Method,Hit and Run,Locality,Most Harmful Event (All Vehicles),Road Contributing Circumstance,School Bus Related,Speed Limit,Traffic Control Device Function,Vehicle Sequence of Events (All Vehicles),Work Zone Related,Vulnerable User Sequence of Events (All Persons),Vulnerable User Distracted By (All Persons),Vulnerable User Traffic Control Type (All persons),Vulnerable User Origin Destination (All Persons),Vulnerable User Contributing Circumstances (All Persons),Vulnerable User Alcohol Suspected Type (All Persons),Vulnerable User Drug Suspected Type (All Persons),X,Y,Latitude,Longitude,Street Number,Roadway,Near Intersection Roadway,Distance and Direction From Intersection,Milemarker,Milemarker Route,Distance and Direction From Milemarker,Exit Number,Exit Route,Distance and Direction From Exit,Landmark,Distance and Direction From Landmark,AADT-linked RD,AADT Year-linked RD,Peak % Single Unit Trucks-linked RD,Single-Unit Truck and Bus AADT-linked RD,Peak % Combo Trucks-linked RD,Combination Truck AADT-linked RD,Curb-linked RD-linked RD,Jurisdiction-linked RD,Truck Route-linked RD,Left Sidewalk Width-linked RD,Right Sidewalk Width-linked RD,Left Shoulder Width-linked RD,Left Shoulder Type-linked RD,Surface Width-linked RD,Surface Type-linked RD,Right Shoulder Width-linked RD,Right Shoulder Type-linked RD,Number of Travel Lanes-linked RD,Number of Opposing Travel Lanes-linked RD,Median Width-linked RD,Median Type-linked RD,Urban Type-linked RD,Functional Classification-linked RD,Urbanized Area-linked RD,Federal Aid Route Number-linked RD,Facility Type-linked RD,Street Operation-linked RD,Access Control-linked RD,Number of Peak Hour Lanes-linked RD,Speed Limit-linked RD,Street Name-linked RD,From Street Name-linked RD,To Street Name-linked RD,City-linked RD-linked RD,Structural Condition-linked RD,Terrain-linked RD,Urban Location Type-linked RD,AADT Derivation-linked RD,AADT Station Number-linked RD,Opposing Direction Speed Limit-linked RD,Undivided Left Shoulder Type-linked RD,Undivided Left Shoulder Width-linked RD,Truck Exclusion Type-linked RD,Truck Exclusion Time-linked RD,Federal Functional Classification-linked RD
5514294,MALDEN,3/10/25,Unknown,Open,9:12 PM,2025,Not reported,1,Local police,,,,,,09:00PM to 09:59PM,,,Collision with other light pole or other post/support,Yes,Dark - lighted roadway,Single vehicle crash,4,,,, PW20254553590,Dry,Not at junction,MAPC,0,0,No controls,"Two-way, not divided",V1: Travelling straight ahead,"V1:(Light truck(van, mini-van, pickup, sport utility))",V1:(No),"V1:(Yes, vehicle or trailer disabled)",V1: W,Clear,MIDDLESEX,25000203,"V1:(No, not federally reportable)","No, not federally reportable",Roadway,At Address,"Yes, hit and run",,V1:(Collision with light pole or other post/support),None,"No, school bus not involved",25,Not reported, V1:(Collision with light  pole or other post/support),No,,,,,,,,239029.8126,909149.5298,42.43189054,-71.02567808,455, LYNN ST, EASTERN AVE,,,,,,,,,,17268,2020,0.558,794,0.155,190,Both sides,City or Town accepted road,,6,6,0,No Shoulder,28,Bituminous concrete road,0,No Shoulder,2,0,0,None,Large Urbanized Area,Rural minor arterial or urban principal arterial,Boston (MA-NH-RI),,Mainline roadway,Two-way traffic,No Access Control,,35,BEACH STREET,REVERE CITY LINE,SALEM STREET,MALDEN,Good,Level Terrain,,Pulled back from HPMS network estimation routine,,35,0,0,,,Principal Arterial - Other
5514295,MALDEN,3/15/25,Property damage only (none injured),Open,1:05 AM,2025,No Apparent Injury (O),2,Local police,,18-20,18-20,,,01:00AM to 01:59AM,D1: (Unknown)  / D2: (No improper driving) ,D2: Not Distracted,Collision with motor vehicle in traffic,Yes,Dark - lighted roadway,"Sideswipe, same direction",4,,,, PW20254553596,Dry,Not at junction,MAPC,0,0,No controls,"Two-way, divided, unprotected median",V1: Travelling straight ahead / V2: Travelling straight ahead,V1:(Passenger car) / V2:(Passenger car),V1:(No) / V2:(No),V1:(No) / V2:(No),V1: W  / V2: W,Clear,MIDDLESEX,25000214,"V1:(No, not federally reportable) / V2:(No, not federally reportable)","No, not federally reportable",Roadway,At Address,"Yes, hit and run",,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic),None,"No, school bus not involved",25,"Yes, device functioning", V1:(Collision with motor vehicle in traffic) V2:(Collision with motor vehicle in traffic),No,,,,,,,,237247.2023,909273.9371,42.43309772,-71.04733336,630, SALEM ST Rte W,,,,,,,,,,,13055,2020,0.477,638,0.068,78,Both sides,City or Town accepted road,,9,9,0,No Shoulder,40,Bituminous concrete road,0,No Shoulder,2,0,0,None,Large Urbanized Area,Urban minor arterial or rural major collector,Boston (MA-NH-RI),,Mainline roadway,Two-way traffic,No Access Control,,30,SALEM STREET,MAIN STREET ,,MALDEN,Good,Level Terrain,,Grown from Prior Year HPMS Network,,30,0,0,,,Minor Arterial
5514296,MALDEN,3/25/25,Property damage only (none injured),Open,2:21 PM,2025,No Apparent Injury (O),2,Local police,,18-20,35-44,,,02:00PM to 02:59PM,"D1: (No improper driving)  / D2: (Inattention),(Visibility obstructed) ",D1: Not Distracted,Collision with motor vehicle in traffic,Yes,Daylight,Angle,4,,,, PW20254553593,Dry,Not at junction,MAPC,0,0,No controls,"Two-way, divided, unprotected median",V1: Slowing or stopped in traffic / V2: Backing,"V1:(Single-unit truck (2-axle, 6-tires)) / V2:(Light truck(van, mini-van, pickup, sport utility))",V1:(No) / V2:(No),V1:(No) / V2:(No),V1: E  / V2: N,Clear/Clear,MIDDLESEX,25000233,"V1:(No, not federally reportable) / V2:(No, not federally reportable)","No, not federally reportable",Roadway,At Address,No hit and run,,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic),None,"No, school bus not involved",30,"No, device not functioning", V1:(Collision with motor vehicle in traffic) V2:(Collision with motor vehicle in traffic),No,,,,,,,,235515.891,908245.4773,42.42391978,-71.06843692,17, CHARLES ST Rte E,,,,,,,,,,,14942,2020,0.477,732,0.068,89,Both sides,City or Town accepted road,,10,10,0,No Shoulder,40,Bituminous concrete road,0,No Shoulder,2,0,0,None,Large Urbanized Area,Urban minor arterial or rural major collector,Boston (MA-NH-RI),,Mainline roadway,Two-way traffic,No Access Control,,99,CHARLES STREET,MAIN STREET,FELLSWAY,MALDEN,Good,Level Terrain,,Grown from Prior Year HPMS Network,,99,0,0,,,Minor Arterial
5514297,MALDEN,3/26/25,Property damage only (none injured),Open,9:14 AM,2025,No Apparent Injury (O),3,Local police,,25-34,55-64,,,09:00AM to 09:59AM,D1: (Other improper action)  / D2: (No improper driving)  / D3: (No improper driving) ,,Collision with motor vehicle in traffic,Yes,Daylight,Angle,4,,,, PW20254553597,Dry,Four-way intersection,MAPC,0,0,Stop signs,"Two-way, divided, unprotected median",V1: Parked / V2: Slowing or stopped in traffic / V3: Slowing or stopped in traffic,V1:(Tractor/semi-trailer) / V2:(Passenger car) / V3:(Passenger car),V1:(No) / V2:(No) / V3:(No),V1:(No) / V2:(No) / V3:(No),V1: S  / V2: E  / V3: E,Cloudy,MIDDLESEX,25000236,"V1:(No, not federally reportable) / V2:(No, not federally reportable) / V3:(No, not federally reportable)","No, not federally reportable",Roadway,At Intersection,No hit and run,,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic) / V3:(Collision with motor vehicle in traffic),None,"No, school bus not involved",25,"Yes, device functioning", V1:(Collision with motor vehicle in traffic) V2:(Collision with motor vehicle in traffic) V3:(Collision with motor vehicle in traffic),No,,,,,,,,237835.2343,908965.1871,42.43028988,-71.04020735,, BROADWAY Rte S  / EASTERN AV Rte E,,,,,,,,,,,24974,2020,0.33,974,0.105,275,Both sides,City or Town accepted road,,10,10,0,No Shoulder,44,Bituminous concrete road,0,No Shoulder,2,0,0,None,Large Urbanized Area,Rural minor arterial or urban principal arterial,Boston (MA-NH-RI),,Mainline roadway,Two-way traffic,No Access Control,,30,BROADWAY,EVERETT CITY LINE,MELROSE CITY LINE,MALDEN,Good,Level Terrain,,Grown from Prior Year HPMS Network,,30,0,0,,,Principal Arterial - Other
5514298,MALDEN,3/18/25,Property damage only (none injured),Open,4:14 PM,2025,No Apparent Injury (O),2,Local police,,25-34,25-34,,,04:00PM to 04:59PM,D2: (Unknown) ,,Collision with motor vehicle in traffic,Yes,Daylight,Rear-end,4,,,, PW20254553589,Dry,Not at junction,MAPC,0,0,Stop signs,"Two-way, divided, unprotected median",V1: Travelling straight ahead / V2: Slowing or stopped in traffic,V1:(Passenger car) / V2:(Passenger car),V1:(No) / V2:(No),V1:(No) / V2:(No),V1: E  / V2: E,Clear,MIDDLESEX,25000224,"V1:(No, not federally reportable) / V2:(No, not federally reportable)","No, not federally reportable",Roadway,At Address,"Yes, hit and run",,V1:(Collision with motor vehicle in traffic) / V2:(Other),Unknown,"No, school bus not involved",25,Not reported, V1:(Collision with motor vehicle in traffic) V2:(Other),No,,,,,,,,239154.8704,909257.2156,42.43285371,-71.024151,1, WESLEY ST Rte E,,,,,,,,,,,3581,2020,,,,,Both sides,City or Town accepted road,,0,0,0,No Shoulder,36,Surface-treated road,0,No Shoulder,2,0,0,None,Large Urbanized Area,Urban collector or rural minor collector,Boston (MA-NH-RI),,Mainline roadway,Two-way traffic,No Access Control,,99,WESLEY STREET,LYNN STREET,,MALDEN,Good,Level Terrain,,Pulled back from HPMS network estimation routine,,99,0,0,,,Major Collector
5514299,MALDEN,3/25/25,Property damage only (none injured),Open,9:00 AM,2025,No Apparent Injury (O),1,Local police,,,,65-74,65-74,09:00AM to 09:59AM,D1: (Made an improper turn) ,,Collision with pedestrian,Yes,Daylight,Single vehicle crash,4, VU2: Standing, VU2: In roadway, VU2: Pedestrian, PW20254553594,Dry,Not at junction,MAPC,0,0,No controls,"Two-way, not divided",V1: Making U-turn,V1:(Passenger car),V1:(No),V1:(No),V1: N,Clear,MIDDLESEX,25000232,"V1:(No, not federally reportable)","No, not federally reportable",Roadway,At Address,"Yes, hit and run",,V1:(Collision with pedestrian),None,"No, school bus not involved",25,"No, device not functioning", V1:(Collision with pedestrian),No, VU2:(In Roadway – Other),,,,,,,236773.2254,908512.6467,42.42626669,-71.05314198,20, SAMMETT ST Rte N,,,,,,,,,,,1154,,,,,,Both sides,City or Town accepted road,,7,7,0,No Shoulder,25,Bituminous concrete road,0,No Shoulder,2,0,0,None,Large Urbanized Area,Local,Boston (MA-NH-RI),,Mainline roadway,Two-way traffic,No Access Control,,,SAMMETT STREET,EVERETT CITY LINE,WILLOW STREET,MALDEN,Good,Level Terrain,,,,,0,0,,,Local
5514300,MALDEN,3/27/25,Property damage only (none injured),Open,4:41 PM,2025,No Apparent Injury (O),2,Local police,,18-20,45-54,,,04:00PM to 04:59PM,"D1: (No improper driving),(No improper driving)  / D2: (Disregarded traffic signs, signals, road markings),(Disregarded traffic signs, signals, road markings) ",D1: Not Distracted,Collision with motor vehicle in traffic,Yes,Daylight,Angle,4,,,, PW20254553599,Dry,Four-way intersection,MAPC,0,0,Stop signs,"Two-way, not divided",V1: Slowing or stopped in traffic / V2: Unknown,"V1:(Light truck(van, mini-van, pickup, sport utility)) / V2:(Passenger car)",V1:(No) / V2:(No),"V1:(Yes, vehicle or trailer disabled) / V2:(Yes, vehicle or trailer disabled)",V1: W  / V2: S,Clear/Clear,MIDDLESEX,25000239,"V1:(No, not federally reportable) / V2:(No, not federally reportable)","No, not federally reportable",Unknown,At Intersection,No hit and run,,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic),None,"No, school bus not involved",30,Not reported, V1:(Collision with motor vehicle in traffic) V2:(Collision with motor vehicle in traffic),No,,,,,,,,234600.5155,909070.1873,42.43138542,-71.07951031,, CLIFTON ST Rte W  / DEXTER ST Rte S,,,,,,,,,,,2651,2020,0.21,129,0,16,Both sides,City or Town accepted road,,9,9,0,No Shoulder,30,Bituminous concrete road,0,No Shoulder,2,0,0,None,Large Urbanized Area,Urban collector or rural minor collector,Boston (MA-NH-RI),,Mainline roadway,Two-way traffic,No Access Control,,99,CLIFTON STREET,WASHINGTON STREET ,HIGHLAND AVENUE ,MALDEN,Good,Level Terrain,,Grown from Prior Year HPMS Network,,99,0,0,,,Major Collector
5514301,MALDEN,3/27/25,Unknown,Open,6:02 PM,2025,Not reported,1,Local police,,,,,,06:00PM to 06:59PM,,,Collision with parked motor vehicle,Yes,Dark - lighted roadway,Angle,4,,,, PW20254553598,Dry,Not at junction,MAPC,0,0,No controls,"Two-way, not divided",V1: Parked,"V1:(Light truck(van, mini-van, pickup, sport utility))",V1:(No),V1:(No),V1: U,Clear/Clear,MIDDLESEX,25000240,"V1:(No, not federally reportable)","No, not federally reportable",Unknown,At Address,No hit and run,,V1:(Unknown),None,"No, school bus not involved",30,Not reported, V1:(Other),No,,,,,,,,235028.7867,908754.4539,42.42852389,-71.07432489,3, HARNDEN RD Rte 6,,,,,,,,,,,1154,,,,,,Both sides,City or Town accepted road,,3,5,0,No Shoulder,16,Bituminous concrete road,0,No Shoulder,2,0,0,None,Large Urbanized Area,Local,Boston (MA-NH-RI),,Mainline roadway,Two-way traffic,No Access Control,,,HARNDEN ROAD,SUMMER STREET,EVELYN PLACE,MALDEN,Good,Level Terrain,,,,,0,0,,,Local
5514302,MALDEN,3/16/25,Property damage only (none injured),Open,4:26 PM,2025,No Apparent Injury (O),2,Local police,,21-24,55-64,,,04:00PM to 04:59PM,D1: (No improper driving)  / D2: (No improper driving) ,D1: Not Distracted / D2: Not Distracted,Collision with motor vehicle in traffic,Yes,Daylight,"Sideswipe, same direction",4,,,, PW20254553602,Dry,Not at junction,MAPC,0,0,No controls,"Two-way, not divided",V1: Entering traffic lane / V2: Travelling straight ahead,V1:(Passenger car) / V2:(Passenger car),V1:(No) / V2:(No),V1:(No) / V2:(No),V1: N  / V2: N,Cloudy/Clear,MIDDLESEX,25000218,"V1:(No, not federally reportable) / V2:(No, not federally reportable)","No, not federally reportable",Roadway,At Address,No hit and run,,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic),None,"No, school bus not involved",25,Not reported, V1:(Collision with motor vehicle in traffic) V2:(Collision with motor vehicle in traffic),No,,,,,,,,235171.5631,908741.0756,42.42839703,-71.0725907,37, FLORENCE ST Rte N,,,,,,,,,,,,,,,,,Both sides,City or Town accepted road,,0,7,0,No Shoulder,34,Bituminous concrete road,0,No Shoulder,2,2,5,Raised Median,Large Urbanized Area,Urban collector or rural minor collector,Boston (MA-NH-RI),,Mainline roadway,Two-way traffic,No Access Control,,99,FLORENCE STREET,PLEASANT STREET,MAIN STREET,MALDEN,Good,Level Terrain,,,,99,0,0,,,Major Collector
5514304,MALDEN,3/30/25,Non-fatal injury,Open,3:02 PM,2025,Suspected Minor Injury (B),2,Local police,,45-54,65-74,,,03:00PM to 03:59PM,D1: (Failed to yield right of way)  / D2: (No improper driving) ,,Collision with motor vehicle in traffic,Yes,Daylight,Angle,4,,,, PW20254553603,Dry,Four-way intersection,MAPC,0,2,Traffic control signal,"Two-way, divided, unprotected median",V1: Turning left / V2: Travelling straight ahead,V1:(Passenger car) / V2:(Passenger car),V1:(No) / V2:(No),"V1:(Yes, vehicle or trailer disabled) / V2:(Yes, vehicle or trailer disabled)",V1: S  / V2: E,Cloudy,MIDDLESEX,25000244,"V1:(No, not federally reportable) / V2:(No, not federally reportable)","No, not federally reportable",Roadway,At Intersection,No hit and run,,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic),None,"No, school bus not involved",25,"Yes, device functioning", V1:(Collision with motor vehicle in traffic) V2:(Collision with motor vehicle in traffic),No,,,,,,,,237835.2343,908965.1871,42.43028988,-71.04020735,, BROADWAY Rte S  / EASTERN AV Rte E,,,,,,,,,,,24974,2020,0.33,974,0.105,275,Both sides,City or Town accepted road,,10,10,0,No Shoulder,44,Bituminous concrete road,0,No Shoulder,2,0,0,None,Large Urbanized Area,Rural minor arterial or urban principal arterial,Boston (MA-NH-RI),,Mainline roadway,Two-way traffic,No Access Control,,30,BROADWAY,EVERETT CITY LINE,MELROSE CITY LINE,MALDEN,Good,Level Terrain,,Grown from Prior Year HPMS Network,,30,0,0,,,Principal Arterial - Other
5514306,MALDEN,3/17/25,Property damage only (none injured),Open,12:22 AM,2025,No Apparent Injury (O),3,Local police,,25-34,25-34,,,12:00AM to 12:59AM,"D3: (Swerving or avoiding due to wind, slippery surface, vehicle, object, vulnerable user in roadway) ",D3: Not Distracted,Collision with parked motor vehicle,Yes,Dark - lighted roadway,"Sideswipe, opposite direction",4,,,, PW20254553600,Wet,Not at junction,MAPC,0,0,No controls,"Two-way, not divided",V1: Parked / V2: Parked / V3: Travelling straight ahead,V1:(Passenger car) / V2:(Passenger car) / V3:(Passenger car),V1:(No) / V2:(No) / V3:(No),"V1:(Yes, vehicle or trailer disabled) / V2:(Yes, vehicle or trailer disabled) / V3:(Yes, vehicle or trailer disabled)",V1: Not Reported / V2: Not Reported / V3: S,Rain,MIDDLESEX,25000220,"V1:(No, not federally reportable) / V2:(No, not federally reportable) / V3:(No, not federally reportable)","No, not federally reportable",Roadway,At Address,No hit and run,,V1:(Collision with parked motor vehicle) / V2:(Collision with parked motor vehicle) / V3:(Collision with parked motor vehicle),"Road surface condition (wet, icy, snow, slush, etc.)","No, school bus not involved",25,"No, device not functioning", V1:(Collision with parked motor vehicle) V2:(Collision with parked motor vehicle) V3:(Collision with parked motor vehicle),No,,,,,,,,237858.0098,909517.6032,42.4352619,-71.03989436,39, HOME ST Rte S,,,,,,,,,,,1154,,,,,,Both sides,City or Town accepted road,,7,7,0,No Shoulder,24,Surface-treated road,0,No Shoulder,2,0,0,None,Large Urbanized Area,Local,Boston (MA-NH-RI),,Mainline roadway,Two-way traffic,No Access Control,,,HOME STREET,SALEM STREET,RESERVE STREET,MALDEN,Fair,Level Terrain,,,,,0,0,,,Local
5514307,MALDEN,3/27/25,Property damage only (none injured),Open,11:55 AM,2025,No Apparent Injury (O),2,Local police,,,,,,11:00AM to 11:59AM,D2: (Unknown) ,,Collision with parked motor vehicle,Yes,Daylight,"Sideswipe, same direction",4,,,, PW20254553623,Dry,Not at junction,MAPC,0,0,No controls,"Two-way, not divided",V1: Parked / V2: Travelling straight ahead,V1:(Passenger car) / V2:(Passenger car),V1:(No) / V2:(No),V1:(No) / V2:(No),V1: E  / V2: E,Clear,MIDDLESEX,25000237,"V1:(No, not federally reportable) / V2:(No, not federally reportable)","No, not federally reportable",Roadway,At Address,"Yes, hit and run",,V1:(Collision with parked motor vehicle) / V2:(Collision with parked motor vehicle),None,"No, school bus not involved",25,"No, device not functioning", V1:(Collision with parked motor vehicle) V2:(Collision with parked motor vehicle),No,,,,,,,,237476.6977,908209.0588,42.42350014,-71.04461344,55, TAYLOR ST Rte E,,,,,,,,,,,2609,2020,0.21,128,0,15,Both sides,City or Town accepted road,,8,8,0,No Shoulder,33,Surface-treated road,0,No Shoulder,2,0,0,None,Large Urbanized Area,Urban collector or rural minor collector,Boston (MA-NH-RI),,Mainline roadway,Two-way traffic,No Access Control,,99,TAYLOR STREET,BROADWAY,EVERETT CITY LINE,MALDEN,Good,Level Terrain,,Grown from Prior Year HPMS Network,,99,0,0,,,Major Collector
5514308,MALDEN,3/17/25,Non-fatal injury,Open,5:02 PM,2025,Suspected Minor Injury (B),3,Local police,,35-44,35-44,,,05:00PM to 05:59PM,D1: (History heart/epilepsy/fainting) ,D1: Not Distracted,Collision with parked motor vehicle,Yes,Daylight,Angle,4,,,, PW20254553601,Wet,Not at junction,MAPC,0,1,No controls,"Two-way, not divided",V1: Travelling straight ahead / V2: Parked / V3: Parked,V1:(Passenger car) / V2:(Passenger car) / V3:(Passenger car),V1:(No) / V2:(No) / V3:(No),"V1:(Yes, vehicle or trailer disabled) / V2:(Yes, vehicle or trailer disabled) / V3:(No)",V1: W  / V2: W  / V3: W,Rain,MIDDLESEX,25000222,"V1:(No, not federally reportable) / V2:(No, not federally reportable) / V3:(No, not federally reportable)","No, not federally reportable",Roadside,At Address,No hit and run,,V1:(Collision with parked motor vehicle) / V2:(Collision with motor vehicle in traffic) / V3:(Collision with parked motor vehicle),None,"No, school bus not involved",25,"Yes, device functioning", V1:(Collision with parked motor vehicle) V2:(Collision with motor vehicle in traffic) V3:(Collision with parked motor vehicle),No,,,,,,,,237140.1741,908217.3288,42.4235907,-71.04870199,244, NEWLAND ST Rte W,,,,,,,,,,,1154,,,,,,Both sides,City or Town accepted road,,4,4,0,No Shoulder,25,Bituminous concrete road,0,No Shoulder,2,0,0,None,Large Urbanized Area,Local,Boston (MA-NH-RI),,Mainline roadway,Two-way traffic,No Access Control,,,NEWLAND STREET,TAYLOR STREET,ALDEN STREET,MALDEN,Good,Level Terrain,,,,,0,0,,,Local
5514310,MALDEN,3/27/25,Non-fatal injury,Open,9:37 PM,2025,Suspected Minor Injury (B),1,Local police,,35-44,35-44,65-74,65-74,09:00PM to 09:59PM,D1: (No improper driving) ,D1: Not Distracted,Collision with pedestrian,Yes,Dark - lighted roadway,Single vehicle crash,4, VU2: Entering or crossing location, VU2: In roadway, VU2: Pedestrian, PW20254553604,Dry,Not at junction,MAPC,0,1,Traffic control signal,"Two-way, not divided",V1: Travelling straight ahead,V1:(Passenger car),V1:(No),V1:(No),V1: E,Clear,MIDDLESEX,25000241,"V1:(No, not federally reportable)","No, not federally reportable",Roadway,At Address,No hit and run,,V1:(Collision with pedestrian),None,"No, school bus not involved",25,"Yes, device functioning", V1:(Collision with pedestrian),No, VU2:(Crossing Roadway),, VU2: None, VU2: Other, VU2:(Crossing of Roadway or Intersection),, VU2: No,238523.9595,910023.679,42.43978521,-71.03176717,9, CENTRAL AVE Rte E, BROADWAY Rte,,,,,,,,,,2836,2020,0.21,139,0,17,Both sides,City or Town accepted road,,6,6,0,No Shoulder,36,Bituminous concrete road,0,No Shoulder,2,0,0,None,Large Urbanized Area,Urban collector or rural minor collector,Boston (MA-NH-RI),,Mainline roadway,Two-way traffic,No Access Control,,99,CENTRAL AVENUE,SALEM STREET,BROADWAY,MALDEN,Good,Level Terrain,,Grown from Prior Year HPMS Network,,99,0,0,,,Major Collector
5514313,MALDEN,3/20/25,Unknown,Open,9:41 AM,2025,Not reported,2,Local police,,,,,,09:00AM to 09:59AM,,,Collision with parked motor vehicle,Yes,Unknown,"Sideswipe, same direction",4,,,, PW20254553606,Unknown,Not at junction,MAPC,0,0,Unknown,"Two-way, not divided",V1: Unknown / V2: Parked,V1:(Passenger car) / V2:(Passenger car),V1:(No) / V2:(No),V1:(No) / V2:(No),V1: W  / V2: W,Unknown,MIDDLESEX,25000225,"V1:(No, not federally reportable) / V2:(No, not federally reportable)","No, not federally reportable",Roadway,At Address,"Yes, hit and run",,V1:(Collision with parked motor vehicle) / V2:(Collision with motor vehicle in traffic),Unknown,"No, school bus not involved",25,Not reported, V1:(Collision with parked motor vehicle) V2:(Collision with motor vehicle in traffic),No,,,,,,,,236529.6666,907719.302,42.41913603,-71.05615175,218, BELMONT ST Rte W,,,,,,,,,,,2822,2020,0.21,137,0,17,Both sides,City or Town accepted road,,8,8,0,No Shoulder,30,Bituminous concrete road,0,No Shoulder,2,0,0,None,Large Urbanized Area,Urban collector or rural minor collector,Boston (MA-NH-RI),,Mainline roadway,Two-way traffic,No Access Control,,99,BELMONT STREET,FERRY STREET,MAIN STREET,MALDEN,Good,Level Terrain,,Grown from Prior Year HPMS Network,,99,0,0,,,Major Collector
5514314,MALDEN,3/25/25,Property damage only (none injured),Open,9:59 PM,2025,No Apparent Injury (O),3,Local police,,25-34,65-74,,,09:00PM to 09:59PM,D1: (No improper driving)  / D2: (No improper driving)  / D3: (Unknown) ,D1: Not Distracted / D2: Not Distracted,Collision with motor vehicle in traffic,Yes,Dark - lighted roadway,Angle,4,,,, PW20254553626,Dry,Four-way intersection,MAPC,0,0,Traffic control signal,"Two-way, not divided",V1: Slowing or stopped in traffic / V2: Travelling straight ahead / V3: Travelling straight ahead,"V1:(Light truck(van, mini-van, pickup, sport utility)) / V2:(Light truck(van, mini-van, pickup, sport utility)) / V3:(Passenger car)",V1:(No) / V2:(No) / V3:(No),"V1:(No) / V2:(Yes, vehicle or trailer disabled) / V3:(Yes, vehicle or trailer disabled)",V1: S  / V2: W  / V3: N,Clear,MIDDLESEX,25000234,"V1:(No, not federally reportable) / V2:(No, not federally reportable) / V3:(No, not federally reportable)","No, not federally reportable",Roadway,At Intersection,No hit and run,,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic) / V3:(Collision with motor vehicle in traffic),None,"No, school bus not involved",30,"Yes, device functioning", V1:(Collision with motor vehicle in traffic) V2:(Collision with motor vehicle in traffic) V3:(Collision with motor vehicle in traffic),No,,,,,,,,234990.7655,908169.4374,42.42325897,-71.07482236,, CHARLES ST Rte    / COMMERCIAL ST Rte,,,,,,,,,,,14942,2020,0.477,732,0.068,89,Both sides,City or Town accepted road,,7,7,0,No Shoulder,49,Surface-treated road,0,No Shoulder,2,0,0,None,Large Urbanized Area,Urban minor arterial or rural major collector,Boston (MA-NH-RI),,Mainline roadway,Two-way traffic,No Access Control,,99,CHARLES STREET,MAIN STREET,FELLSWAY,MALDEN,Good,Level Terrain,,Grown from Prior Year HPMS Network,,99,0,0,,,Minor Arterial
5514315,MALDEN,3/18/25,Property damage only (none injured),Open,8:49 AM,2025,No Apparent Injury (O),2,Local police,,25-34,35-44,,,08:00AM to 08:59AM,D1: (Unknown)  / D2: (Unknown) ,,Collision with motor vehicle in traffic,Yes,Daylight,Rear-end,4,,,, PW20254553607,Dry,Not at junction,MAPC,0,0,No controls,"Two-way, not divided",V1: Travelling straight ahead / V2: Slowing or stopped in traffic,V1:(Passenger car) / V2:(Passenger car),V1:(No) / V2:(No),"V1:(Yes, vehicle or trailer disabled) / V2:(No)",V1: S  / V2: S,Clear,MIDDLESEX,25000223,"V1:(No, not federally reportable) / V2:(No, not federally reportable)","No, not federally reportable",Roadway,At Address,No hit and run,,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic),None,"No, school bus not involved",35,Not reported, V1:(Collision with motor vehicle in traffic) V2:(Collision with motor vehicle in traffic),No,,,,,,,,238738.1081,910504.5249,42.4441034,-71.02913213,700, BROADWAY Rte S,,,,,,,,,,,23875,2020,0.33,932,0.105,263,None,Massachusetts Department of Transportation,,5,,0,No Shoulder,26,Bituminous concrete road,8,Hardened bituminous mix or penetration,2,0,0,None,Large Urbanized Area,Rural minor arterial or urban principal arterial,Boston (MA-NH-RI),,Mainline roadway,Two-way traffic,No Access Control,,35,BROADWAY,EVERETT CITY LINE,MELROSE CITY LINE,MALDEN,Good,Level Terrain,,Grown from Prior Year HPMS Network,,35,Surfaced shoulder exists – Portland Cement Concrete surface (PCC,8,,,Principal Arterial - Other
